filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
sophoclesplaysa05campgoog_0012.png,91157,"{}",1,1,"{""name"":""rect"",""x"":300,""y"":829,""width"":2401,""height"":3479}","{""text"":""primary_text""}"
sophoclesplaysa05campgoog_0050.png,174097,"{}",5,1,"{""name"":""rect"",""x"":302,""y"":544,""width"":2416,""height"":3333}","{""text"":""primary_text""}"
sophoclesplaysa05campgoog_0050.png,174097,"{}",5,2,"{""name"":""rect"",""x"":483,""y"":388,""width"":1973,""height"":64}","{""text"":""title""}"
sophoclesplaysa05campgoog_0050.png,174097,"{}",5,3,"{""name"":""rect"",""x"":2568,""y"":388,""width"":131,""height"":64}","{""text"":""page_number""}"
sophoclesplaysa05campgoog_0050.png,174097,"{}",5,4,"{""name"":""rect"",""x"":2721,""y"":544,""width"":266,""height"":287}","{""text"":""commentary""}"
sophoclesplaysa05campgoog_0050.png,174097,"{}",5,5,"{""name"":""rect"",""x"":315,""y"":4024,""width"":2375,""height"":469}","{""text"":""commentary""}"
sophoclesplaysa05campgoog_0112.png,205699,"{}",6,1,"{""name"":""rect"",""x"":379,""y"":538,""width"":2386,""height"":1447}","{""text"":""primary_text""}"
sophoclesplaysa05campgoog_0112.png,205699,"{}",6,2,"{""name"":""rect"",""x"":359,""y"":2037,""width"":2410,""height"":520}","{""text"":""app_crit""}"
sophoclesplaysa05campgoog_0112.png,205699,"{}",6,3,"{""name"":""rect"",""x"":1285,""y"":378,""width"":565,""height"":68}","{""text"":""title""}"
sophoclesplaysa05campgoog_0112.png,205699,"{}",6,4,"{""name"":""rect"",""x"":385,""y"":383,""width"":46,""height"":63}","{""text"":""page_number""}"
sophoclesplaysa05campgoog_0112.png,205699,"{}",6,5,"{""name"":""rect"",""x"":362,""y"":2755,""width"":1157,""height"":1760}","{""text"":""commentary""}"
sophoclesplaysa05campgoog_0112.png,205699,"{}",6,6,"{""name"":""rect"",""x"":1615,""y"":2760,""width"":1158,""height"":1754}","{""text"":""commentary""}"
sophoclesplaysa05campgoog_0146.png,194479,"{}",6,1,"{""name"":""rect"",""x"":126,""y"":510,""width"":2646,""height"":1460}","{""text"":""primary_text""}"
sophoclesplaysa05campgoog_0146.png,194479,"{}",6,2,"{""name"":""rect"",""x"":355,""y"":2044,""width"":2403,""height"":196}","{""text"":""app_crit""}"
sophoclesplaysa05campgoog_0146.png,194479,"{}",6,3,"{""name"":""rect"",""x"":1289,""y"":349,""width"":592,""height"":69}","{""text"":""title""}"
sophoclesplaysa05campgoog_0146.png,194479,"{}",6,4,"{""name"":""rect"",""x"":387,""y"":349,""width"":40,""height"":65}","{""text"":""page_number""}"
sophoclesplaysa05campgoog_0146.png,194479,"{}",6,5,"{""name"":""rect"",""x"":327,""y"":2401,""width"":1167,""height"":2088}","{""text"":""commentary""}"
sophoclesplaysa05campgoog_0146.png,194479,"{}",6,6,"{""name"":""rect"",""x"":1585,""y"":2401,""width"":1160,""height"":2081}","{""text"":""commentary""}"
sophoclesplaysa05campgoog_0177.png,218424,"{}",6,1,"{""name"":""rect"",""x"":242,""y"":558,""width"":2414,""height"":1130}","{""text"":""translation""}"
sophoclesplaysa05campgoog_0177.png,218424,"{}",6,2,"{""name"":""rect"",""x"":248,""y"":1760,""width"":2403,""height"":520}","{""text"":""app_crit""}"
sophoclesplaysa05campgoog_0177.png,218424,"{}",6,3,"{""name"":""rect"",""x"":1386,""y"":399,""width"":164,""height"":67}","{""text"":""title""}"
sophoclesplaysa05campgoog_0177.png,218424,"{}",6,4,"{""name"":""rect"",""x"":2602,""y"":415,""width"":43,""height"":64}","{""text"":""page_number""}"
sophoclesplaysa05campgoog_0177.png,218424,"{}",6,5,"{""name"":""rect"",""x"":230,""y"":2456,""width"":1163,""height"":2086}","{""text"":""commentary""}"
sophoclesplaysa05campgoog_0177.png,218424,"{}",6,6,"{""name"":""rect"",""x"":1487,""y"":2456,""width"":1167,""height"":2086}","{""text"":""commentary""}"
